D2;ActionState;timeScale;Frame;Time
D2;PREDRIVE;1;421;3.57183
D2;PREDRIVE;1;422;3.580408
D2;PREDRIVE;1;423;3.588357
D2;PREDRIVE;1;424;3.596529
D2;PREDRIVE;1;425;3.60528
D2;PREDRIVE;1;426;3.612995
D2;PREDRIVE;1;427;3.621326
D2;PREDRIVE;1;428;3.629463
D2;PREDRIVE;1;429;3.637696
D2;PREDRIVE;1;430;3.646227
D2;PREDRIVE;1;431;3.654173
D2;PREDRIVE;1;432;3.662666
D2;PREDRIVE;1;433;3.67064
D2;PREDRIVE;1;434;3.678864
D2;PREDRIVE;1;435;3.68761
D2;PREDRIVE;1;436;3.695498
D2;PREDRIVE;1;437;3.703563
D2;PREDRIVE;1;438;3.711796
D2;PREDRIVE;1;439;3.720472
D2;PREDRIVE;1;440;3.728464
D2;PREDRIVE;1;441;3.736496
D2;PREDRIVE;1;442;3.74473
D2;PREDRIVE;1;443;3.75339
D2;PREDRIVE;1;444;3.761387
D2;PREDRIVE;1;445;3.76943
D2;PREDRIVE;1;446;3.777663
D2;PREDRIVE;1;447;3.786281
D2;PREDRIVE;1;448;3.794306
D2;PREDRIVE;1;449;3.802363
D2;PREDRIVE;1;450;3.810595
D2;PREDRIVE;1;451;3.819238
D2;PREDRIVE;1;452;3.827187
D2;PREDRIVE;1;453;3.835296
D2;PREDRIVE;1;454;3.84353
D2;PREDRIVE;1;455;3.852145
D2;PREDRIVE;1;456;3.860093
D2;PREDRIVE;1;457;3.86823
D2;PREDRIVE;1;458;3.876463
D2;PREDRIVE;1;459;3.88502
D2;PREDRIVE;1;460;3.89306
D2;PREDRIVE;1;461;3.901162
D2;PREDRIVE;1;462;3.909397
D2;PREDRIVE;1;463;3.917979
D2;PREDRIVE;1;464;3.925978
D2;PREDRIVE;1;465;3.934096
D2;PREDRIVE;1;466;3.94233
D2;PREDRIVE;1;467;3.950877
D2;PREDRIVE;1;468;3.95886
D2;PREDRIVE;1;469;3.967637
D2;PREDRIVE;1;470;3.975264
D2;PREDRIVE;1;471;3.983496
D2;PREDRIVE;1;472;3.992078
D2;PREDRIVE;1;473;4.00006
D2;PREDRIVE;1;474;4.008197
D2;PREDRIVE;1;475;4.016429
D2;PREDRIVE;1;476;4.024943
D2;PREDRIVE;1;477;4.032949
D2;PREDRIVE;1;478;4.04113
D2;PREDRIVE;1;479;4.049929
D2;PREDRIVE;1;480;4.057887
D2;PREDRIVE;1;481;4.065916
D2;PREDRIVE;1;482;4.074062
D2;PREDRIVE;1;483;4.082911
D2;PREDRIVE;1;484;4.090529
D2;PREDRIVE;1;485;4.098879
D2;PREDRIVE;1;486;4.107802
D2;PREDRIVE;1;487;4.11523
D2;PREDRIVE;1;488;4.123761
D2;PREDRIVE;1;489;4.131702
D2;PREDRIVE;1;490;4.139929
D2;PREDRIVE;1;491;4.148163
D2;PREDRIVE;1;492;4.156659
D2;PREDRIVE;1;493;4.16463
D2;PREDRIVE;1;494;4.173611
D2;PREDRIVE;1;495;4.181537
D2;PREDRIVE;1;496;4.189567
D2;PREDRIVE;1;497;4.197562
D2;PREDRIVE;1;498;4.205796
D2;PREDRIVE;1;499;4.21447
D2;PREDRIVE;1;500;4.222263
D2;PREDRIVE;1;501;4.230496
D2;PREDRIVE;1;502;4.23873
D2;PREDRIVE;1;503;4.247399
D2;PREDRIVE;1;504;4.255195
D2;PREDRIVE;1;505;4.263941
D2;PREDRIVE;1;506;4.27188
D2;PREDRIVE;1;507;4.279902
D2;PREDRIVE;1;508;4.288129
D2;PREDRIVE;1;509;4.296362
D2;PREDRIVE;1;510;4.304801
D2;PREDRIVE;1;511;4.312829
D2;PREDRIVE;1;512;4.321063
D2;PREDRIVE;1;513;4.329773
D2;PREDRIVE;1;514;4.337741
D2;PREDRIVE;1;515;4.345763
D2;PREDRIVE;1;516;4.354666
D2;PREDRIVE;1;517;4.362711
D2;PREDRIVE;1;518;4.370462
D2;PREDRIVE;1;519;4.378696
